card,interaction,ability_kind,invariant,message
"Moss Kami","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Silverstorm Samurai","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Silverstorm Samurai","goldilocks_keyword_dead","","","keyword=bushido: board was set up but nothing changed"
"Feaster of Fools","goldilocks_keyword_dead","","","keyword=convoke: board was set up but nothing changed"
"Feaster of Fools","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Anaconda","goldilocks_keyword_dead","","","keyword=swampwalk: board was set up but nothing changed"
"Bloodbraid Elf","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Bloodbraid Elf","goldilocks_keyword_dead","","","keyword=cascade: board was set up but nothing changed"
"Yavimaya Ants","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Yavimaya Ants","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Yavimaya Ants","goldilocks_keyword_dead","","","keyword=cumulative upkeep: board was set up but nothing changed"
"Moat Piranhas","goldilocks_keyword_dead","","","keyword=defender: board was set up but nothing changed"
"Knight of the Pilgrim's Road","goldilocks_keyword_dead","","","keyword=renown: board was set up but nothing changed"
"Jhessian Zombies","goldilocks_keyword_dead","","","keyword=fear: board was set up but nothing changed"
"Apprentice Sharpshooter","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Apprentice Sharpshooter","goldilocks_keyword_dead","","","keyword=training: board was set up but nothing changed"
"Plated Crusher","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Plated Crusher","goldilocks_keyword_dead","","","keyword=hexproof: board was set up but nothing changed"
"Conclave Equenaut","goldilocks_keyword_dead","","","keyword=convoke: board was set up but nothing changed"
"Conclave Equenaut","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Goblin Champion","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Goblin Champion","goldilocks_keyword_dead","","","keyword=exalted: board was set up but nothing changed"
"Winnower Patrol","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Resistance Skywarden","goldilocks_keyword_dead","","","keyword=menace: board was set up but nothing changed"
"Resistance Skywarden","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Brazen Scourge","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Scuzzback Marauders","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Wing Commando","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Wing Commando","goldilocks_keyword_dead","","","keyword=prowess: board was set up but nothing changed"
"Shriek Raptor","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Shriek Raptor","goldilocks_keyword_dead","","","keyword=infect: board was set up but nothing changed"
"Sensation Gorger","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Ascended Lawmage","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Ascended Lawmage","goldilocks_keyword_dead","","","keyword=hexproof: board was set up but nothing changed"
"Herald of the Host","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Herald of the Host","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Herald of the Host","goldilocks_keyword_dead","","","keyword=myriad: board was set up but nothing changed"
"Rustwing Falcon","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Oona's Gatewarden","goldilocks_keyword_dead","","","keyword=defender: board was set up but nothing changed"
"Oona's Gatewarden","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Oona's Gatewarden","goldilocks_keyword_dead","","","keyword=wither: board was set up but nothing changed"
"Benthic Giant","goldilocks_keyword_dead","","","keyword=hexproof: board was set up but nothing changed"
"Jötun Grunt","goldilocks_keyword_dead","","","keyword=cumulative upkeep-put two cards: board was set up but nothing changed"
"Swiftblade Vindicator","goldilocks_keyword_dead","","","keyword=double strike: board was set up but nothing changed"
"Swiftblade Vindicator","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Swiftblade Vindicator","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Zodiac Dog","goldilocks_keyword_dead","","","keyword=mountainwalk: board was set up but nothing changed"
"Primal Huntbeast","goldilocks_keyword_dead","","","keyword=hexproof: board was set up but nothing changed"
"Cemetery Gate","goldilocks_keyword_dead","","","keyword=defender: board was set up but nothing changed"
"Cemetery Gate","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Spire Monitor","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Spire Monitor","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Angelic Wall","goldilocks_keyword_dead","","","keyword=defender: board was set up but nothing changed"
"Angelic Wall","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Ambush Party","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Sheltering Ancient","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Ambush Party","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Sheltering Ancient","goldilocks_keyword_dead","","","keyword=cumulative upkeep-put a +1/+1 counter on a creature an opponent controls: board was set up but nothing changed"
"Cold-Water Snapper","goldilocks_keyword_dead","","","keyword=hexproof: board was set up but nothing changed"
"Bog Imp","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Spined Thopter","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Battle Hurda","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Wary Okapi","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Pitiless Gorgon","goldilocks_keyword_dead","","","keyword=deathtouch: board was set up but nothing changed"
"Nacatl Savage","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Zodiac Monkey","goldilocks_keyword_dead","","","keyword=forestwalk: board was set up but nothing changed"
"Giant Mantis","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Monster Mashup","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Monster Mashup","goldilocks_keyword_dead","","","keyword=menace: board was set up but nothing changed"
"Thundering Tanadon","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Pale Recluse","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Ramirez DePietro","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Goblin Grappler","goldilocks_keyword_dead","","","keyword=provoke: board was set up but nothing changed"
"All of History, All at Once","goldilocks_keyword_dead","","","keyword=time travel: board was set up but nothing changed"
"Rorix Bladewing","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"All of History, All at Once","goldilocks_keyword_dead","","","keyword=storm: board was set up but nothing changed"
"Rorix Bladewing","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Mistmeadow Skulk","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Mistmeadow Skulk","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Spotted Griffin","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Waning Wurm","goldilocks_keyword_dead","","","keyword=vanishing: board was set up but nothing changed"
"Hornet Cobra","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Fleshwrither","goldilocks_keyword_dead","","","keyword=transfigure: board was set up but nothing changed"
"Ardent Plea","goldilocks_keyword_dead","","","keyword=exalted: board was set up but nothing changed"
"Ardent Plea","goldilocks_keyword_dead","","","keyword=cascade: board was set up but nothing changed"
"Mist Leopard","goldilocks_keyword_dead","","","keyword=shroud: board was set up but nothing changed"
"Heartfire Hero","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Death Speakers","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Gallowbraid","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Gallowbraid","goldilocks_keyword_dead","","","keyword=cumulative upkeep-pay: board was set up but nothing changed"
"Dragon Moose","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Ringwarden Owl","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Ringwarden Owl","goldilocks_keyword_dead","","","keyword=prowess: board was set up but nothing changed"
"Plated Slagwurm","goldilocks_keyword_dead","","","keyword=hexproof: board was set up but nothing changed"
"A-Midnight Assassin","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"A-Midnight Assassin","goldilocks_keyword_dead","","","keyword=deathtouch: board was set up but nothing changed"
"Flensermite","goldilocks_keyword_dead","","","keyword=infect: board was set up but nothing changed"
"Flensermite","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Slitherhead","goldilocks_keyword_dead","","","keyword=scavenge: board was set up but nothing changed"
"Serra Angel","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Serra Angel","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Arcbound Hybrid","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Emerald Oryx","goldilocks_keyword_dead","","","keyword=forestwalk: board was set up but nothing changed"
"Ripscale Predator","goldilocks_keyword_dead","","","keyword=menace: board was set up but nothing changed"
"Benalish Hero","goldilocks_keyword_dead","","","keyword=banding: board was set up but nothing changed"
"Burly Breaker // Dire-Strain Demolisher","goldilocks_keyword_dead","","","keyword=ward: board was set up but nothing changed"
"Burly Breaker // Dire-Strain Demolisher","goldilocks_keyword_dead","","","keyword=daybound: board was set up but nothing changed"
"Burly Breaker // Dire-Strain Demolisher","goldilocks_keyword_dead","","","keyword=ward: board was set up but nothing changed"
"Burly Breaker // Dire-Strain Demolisher","goldilocks_keyword_dead","","","keyword=nightbound: board was set up but nothing changed"
"Raging Minotaur","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Consuming Aetherborn","goldilocks_keyword_dead","","","keyword=backup: board was set up but nothing changed"
"Consuming Aetherborn","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Razor Swine","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Razor Swine","goldilocks_keyword_dead","","","keyword=infect: board was set up but nothing changed"
"Bull Hippo","goldilocks_keyword_dead","","","keyword=islandwalk: board was set up but nothing changed"
"Hobgoblin Captain","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Lava Serpent","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Sun Sentinel","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Rubble Slinger","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Enforcer Griffin","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Norwood Archers","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Knight of Meadowgrain","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Knight of Meadowgrain","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Brine Giant","goldilocks_keyword_dead","","","keyword=affinity for enchantments: board was set up but nothing changed"
"Wildwood Patrol","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Segovian Angel","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Segovian Angel","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Bog Smugglers","goldilocks_keyword_dead","","","keyword=swampwalk: board was set up but nothing changed"
"Spider-Man, Web-Slinger","goldilocks_keyword_dead","","","keyword=web-slinging: board was set up but nothing changed"
"Bog Wraith","goldilocks_keyword_dead","","","keyword=swampwalk: board was set up but nothing changed"
"Scuzzback Scrapper","goldilocks_keyword_dead","","","keyword=wither: board was set up but nothing changed"
"Zealous Guardian","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Owlin Shieldmage","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Owlin Shieldmage","goldilocks_keyword_dead","","","keyword=ward: board was set up but nothing changed"
"Mesa Unicorn","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Longbow Archer","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Longbow Archer","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Leonin Skyhunter","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Talon Trooper","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Wall of Vines","goldilocks_keyword_dead","","","keyword=defender: board was set up but nothing changed"
"Wall of Vines","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Flight of Equenauts","goldilocks_keyword_dead","","","keyword=convoke: board was set up but nothing changed"
"Flight of Equenauts","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Flowerfoot Swordmaster","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Knight of the Tusk","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Wall of Shields","goldilocks_keyword_dead","","","keyword=defender: board was set up but nothing changed"
"Wall of Shields","goldilocks_keyword_dead","","","keyword=banding: board was set up but nothing changed"
"Lady Zhurong, Warrior Queen","goldilocks_keyword_dead","","","keyword=horsemanship: board was set up but nothing changed"
"Wrecking Crew","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Pilgrim of the Fires","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Firestorm Hellkite","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Pilgrim of the Fires","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Firestorm Hellkite","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Wrecking Crew","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Firestorm Hellkite","goldilocks_keyword_dead","","","keyword=cumulative upkeep: board was set up but nothing changed"
"Voice of Law","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Elvish Archers","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Voice of Law","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Willow Faerie","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Scourge of Numai","goldilocks_dead_effect","","","effect=modification_effect abilityKind=triggered filterBase="""": board was set up but nothing changed"
"Benalish Infantry","goldilocks_keyword_dead","","","keyword=banding: board was set up but nothing changed"
"Gloomfang Mauler","goldilocks_keyword_dead","","","keyword=backup: board was set up but nothing changed"
"Gloomfang Mauler","goldilocks_keyword_dead","","","keyword=menace: board was set up but nothing changed"
"Devoted Retainer","goldilocks_keyword_dead","","","keyword=bushido: board was set up but nothing changed"
"Rosemane Centaur","goldilocks_keyword_dead","","","keyword=convoke: board was set up but nothing changed"
"Rosemane Centaur","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Vestige of Emrakul","goldilocks_keyword_dead","","","keyword=devoid: board was set up but nothing changed"
"Vestige of Emrakul","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Korozda Monitor","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Korozda Monitor","goldilocks_keyword_dead","","","keyword=scavenge: board was set up but nothing changed"
"Kelinore Bat","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Pikemen","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Pikemen","goldilocks_keyword_dead","","","keyword=banding: board was set up but nothing changed"
"Giant Scorpion","goldilocks_keyword_dead","","","keyword=deathtouch: board was set up but nothing changed"
"Darkwatch Elves","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Scourge Servant","goldilocks_keyword_dead","","","keyword=infect: board was set up but nothing changed"
"Ronin Cavekeeper","goldilocks_keyword_dead","","","keyword=bushido: board was set up but nothing changed"
"River Bear","goldilocks_keyword_dead","","","keyword=islandwalk: board was set up but nothing changed"
"Voiceless Spirit","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Voiceless Spirit","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Cragsmasher Yeti","goldilocks_keyword_dead","","","keyword=backup: board was set up but nothing changed"
"Cragsmasher Yeti","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Gluttonous Slime","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Aven Skirmisher","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Moon Heron","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Rograkh, Son of Rohgahh","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Rograkh, Son of Rohgahh","goldilocks_keyword_dead","","","keyword=menace: board was set up but nothing changed"
"Rograkh, Son of Rohgahh","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Rograkh, Son of Rohgahh","goldilocks_keyword_dead","","","keyword=partner: board was set up but nothing changed"
"Warchief Giant","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Warchief Giant","goldilocks_keyword_dead","","","keyword=myriad: board was set up but nothing changed"
"Thundering Chariot","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Thundering Chariot","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Thundering Chariot","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Lightning Elemental","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Spider-Rex, Daring Dino","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Bird Admirer // Wing Shredder","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Spider-Rex, Daring Dino","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Bird Admirer // Wing Shredder","goldilocks_keyword_dead","","","keyword=daybound: board was set up but nothing changed"
"Bird Admirer // Wing Shredder","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Spider-Rex, Daring Dino","goldilocks_keyword_dead","","","keyword=ward: board was set up but nothing changed"
"Bird Admirer // Wing Shredder","goldilocks_keyword_dead","","","keyword=nightbound: board was set up but nothing changed"
"Vodalian Zombie","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Skyreach Manta","goldilocks_keyword_dead","","","keyword=sunburst: board was set up but nothing changed"
"Skyreach Manta","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Rustrazor Butcher","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Rustrazor Butcher","goldilocks_keyword_dead","","","keyword=wither: board was set up but nothing changed"
"Grayscaled Gharial","goldilocks_keyword_dead","","","keyword=islandwalk: board was set up but nothing changed"
"Michelangelo, Game Master","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Gerrard's Irregulars","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Gerrard's Irregulars","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Tangle Spider","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Tangle Spider","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Crested Craghorn","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Crested Craghorn","goldilocks_keyword_dead","","","keyword=provoke: board was set up but nothing changed"
"Cloud Manta","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Firefiend Elemental","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Firefiend Elemental","goldilocks_keyword_dead","","","keyword=renown: board was set up but nothing changed"
"Koth's Courier","goldilocks_keyword_dead","","","keyword=forestwalk: board was set up but nothing changed"
"Flying Dolphin-Fish","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Ichorspit Basilisk","goldilocks_keyword_dead","","","keyword=deathtouch: board was set up but nothing changed"
"Ichorspit Basilisk","goldilocks_keyword_dead","","","keyword=toxic: board was set up but nothing changed"
"Silverclaw Griffin","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Silverclaw Griffin","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Vampire of the Dire Moon","goldilocks_keyword_dead","","","keyword=deathtouch: board was set up but nothing changed"
"Vampire of the Dire Moon","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Mouse Trapper","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Affa Protector","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Emberheart Challenger","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Rhox War Monk","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Raiding Nightstalker","goldilocks_keyword_dead","","","keyword=swampwalk: board was set up but nothing changed"
"Mantis Rider","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Mantis Rider","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Mantis Rider","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Kami of Lunacy","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Kami of Lunacy","goldilocks_keyword_dead","","","keyword=soulshift: board was set up but nothing changed"
"Geist of the Moors","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Oakgnarl Warrior","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Oakgnarl Warrior","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Steel Wall","goldilocks_keyword_dead","","","keyword=defender: board was set up but nothing changed"
"Dead Reveler","goldilocks_keyword_dead","","","keyword=unleash: board was set up but nothing changed"
"Sewer Shambler","goldilocks_keyword_dead","","","keyword=swampwalk: board was set up but nothing changed"
"Sewer Shambler","goldilocks_keyword_dead","","","keyword=scavenge: board was set up but nothing changed"
"Rip-Clan Crasher","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Vengeful Reaper","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Vengeful Reaper","goldilocks_keyword_dead","","","keyword=deathtouch: board was set up but nothing changed"
"Vengeful Reaper","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Moldering Karok","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Moldering Karok","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Bloated Toad","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Skyhunter Prowler","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Skyhunter Prowler","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Earthbending Lesson","goldilocks_keyword_dead","","","keyword=earthbend: board was set up but nothing changed"
"Arcbound Mouser","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Temporal Intervention","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Steadfast Paladin","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Zodiac Rat","goldilocks_keyword_dead","","","keyword=swampwalk: board was set up but nothing changed"
"Ihsan's Shade","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Arrogant Vampire","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Giant Dustwasp","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Goblin Berserker","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Goblin Berserker","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Bloodfray Giant","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Bloodfray Giant","goldilocks_keyword_dead","","","keyword=unleash: board was set up but nothing changed"
"Fearful Villager // Fearsome Werewolf","goldilocks_keyword_dead","","","keyword=menace: board was set up but nothing changed"
"Fearful Villager // Fearsome Werewolf","goldilocks_keyword_dead","","","keyword=daybound: board was set up but nothing changed"
"Fearful Villager // Fearsome Werewolf","goldilocks_keyword_dead","","","keyword=menace: board was set up but nothing changed"
"Fearful Villager // Fearsome Werewolf","goldilocks_keyword_dead","","","keyword=nightbound: board was set up but nothing changed"
"Sky Terror","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Sky Terror","goldilocks_keyword_dead","","","keyword=menace: board was set up but nothing changed"
"Soltari Monk","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Soltari Monk","goldilocks_keyword_dead","","","keyword=shadow: board was set up but nothing changed"
"Ridgetop Raptor","goldilocks_keyword_dead","","","keyword=double strike: board was set up but nothing changed"
"Gangly Stompling","goldilocks_keyword_dead","","","keyword=changeling: board was set up but nothing changed"
"Gangly Stompling","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Shoreline Ranger","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Bog Raiders","goldilocks_keyword_dead","","","keyword=swampwalk: board was set up but nothing changed"
"Duskhunter Bat","goldilocks_keyword_dead","","","keyword=bloodthirst: board was set up but nothing changed"
"Duskhunter Bat","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Skyknight Legionnaire","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Skyknight Legionnaire","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Lynx","goldilocks_keyword_dead","","","keyword=forestwalk: board was set up but nothing changed"
"Conifer Strider","goldilocks_keyword_dead","","","keyword=hexproof: board was set up but nothing changed"
"Kessig Recluse","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Kessig Recluse","goldilocks_keyword_dead","","","keyword=deathtouch: board was set up but nothing changed"
"Alaborn Musketeer","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Rust Goliath","goldilocks_keyword_dead","","","keyword=prototype: board was set up but nothing changed"
"Rust Goliath","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Rust Goliath","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Earthshaking Si","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Gloomhunter","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Cloudcrown Oak","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Banehound","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Banehound","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Disciple of Malice","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Alabaster Kirin","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Alabaster Kirin","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Warren-Scourge Elf","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Yotian Soldier","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Cloudskate","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Cloudskate","goldilocks_keyword_dead","","","keyword=fading: board was set up but nothing changed"
"Vault Skirge","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
